entry,at,order
"The player ""brian @ S6b6tLmlfO"" requested a seat.",2025-03-28T01:59:15.252Z,174312715525200
"""cashin @ z9ny6iZJyv"" folds",2025-03-28T01:59:04.036Z,174312714403600
"""MineSweeperPro @ 1CyApOBBYk"" posts a big blind of 1.00",2025-03-28T01:59:00.688Z,174312714068809
"""james @ yIasX5_n4b"" posts a small blind of 0.50",2025-03-28T01:59:00.688Z,174312714068808
"""cashin @ z9ny6iZJyv"" posts an ante of 0.10",2025-03-28T01:59:00.688Z,174312714068807
"""MineSweeperPro @ 1CyApOBBYk"" posts an ante of 0.10",2025-03-28T01:59:00.688Z,174312714068806
"""james @ yIasX5_n4b"" posts an ante of 0.10",2025-03-28T01:59:00.688Z,174312714068805
"Your hand is 10♣, 4♠",2025-03-28T01:59:00.688Z,174312714068802
"Player stacks: #1 ""james @ yIasX5_n4b"" (393.86) | #2 ""MineSweeperPro @ 1CyApOBBYk"" (374.37) | #4 ""cashin @ z9ny6iZJyv"" (299.73)",2025-03-28T01:59:00.688Z,174312714068801
"-- starting hand #334 (id: v2swvnbqtvdg)  (No Limit Texas Hold'em) (dealer: ""cashin @ z9ny6iZJyv"") --",2025-03-28T01:59:00.688Z,174312714068800
"-- ending hand #333 --",2025-03-28T01:58:57.750Z,174312713775002
"""james @ yIasX5_n4b"" collected 1.30 from pot",2025-03-28T01:58:57.750Z,174312713775001
"Uncalled bet of 0.50 returned to ""james @ yIasX5_n4b""",2025-03-28T01:58:57.750Z,174312713775000
"""cashin @ z9ny6iZJyv"" folds",2025-03-28T01:58:56.929Z,174312713692900
"""MineSweeperPro @ 1CyApOBBYk"" folds",2025-03-28T01:58:56.047Z,174312713604700
"""james @ yIasX5_n4b"" posts a big blind of 1.00",2025-03-28T01:58:50.959Z,174312713095909
"""cashin @ z9ny6iZJyv"" posts a small blind of 0.50",2025-03-28T01:58:50.959Z,174312713095908
"""cashin @ z9ny6iZJyv"" posts an ante of 0.10",2025-03-28T01:58:50.959Z,174312713095907
"""MineSweeperPro @ 1CyApOBBYk"" posts an ante of 0.10",2025-03-28T01:58:50.959Z,174312713095906
"""james @ yIasX5_n4b"" posts an ante of 0.10",2025-03-28T01:58:50.959Z,174312713095905
"Your hand is A♥, J♠",2025-03-28T01:58:50.959Z,174312713095902
"Player stacks: #1 ""james @ yIasX5_n4b"" (393.16) | #2 ""MineSweeperPro @ 1CyApOBBYk"" (374.47) | #4 ""cashin @ z9ny6iZJyv"" (300.33)",2025-03-28T01:58:50.959Z,174312713095901
"-- starting hand #333 (id: a2brhfvlstgj)  (No Limit Texas Hold'em) (dealer: ""MineSweeperPro @ 1CyApOBBYk"") --",2025-03-28T01:58:50.959Z,174312713095900
"-- ending hand #332 --",2025-03-28T01:58:48.021Z,174312712802102
"""MineSweeperPro @ 1CyApOBBYk"" collected 2.30 from pot",2025-03-28T01:58:48.021Z,174312712802101
"Uncalled bet of 2.72 returned to ""MineSweeperPro @ 1CyApOBBYk""",2025-03-28T01:58:48.021Z,174312712802100
"""cashin @ z9ny6iZJyv"" folds",2025-03-28T01:58:47.157Z,174312712715700
"""MineSweeperPro @ 1CyApOBBYk"" raises to 3.72",2025-03-28T01:58:45.857Z,174312712585700
"""james @ yIasX5_n4b"" folds",2025-03-28T01:58:41.469Z,174312712146900
"""cashin @ z9ny6iZJyv"" posts a big blind of 1.00",2025-03-28T01:58:39.826Z,174312711982610
"""MineSweeperPro @ 1CyApOBBYk"" posts a small blind of 0.50",2025-03-28T01:58:39.826Z,174312711982609
"""cashin @ z9ny6iZJyv"" posts an ante of 0.10",2025-03-28T01:58:39.826Z,174312711982608
"""MineSweeperPro @ 1CyApOBBYk"" posts an ante of 0.10",2025-03-28T01:58:39.826Z,174312711982607
"""james @ yIasX5_n4b"" posts an ante of 0.10",2025-03-28T01:58:39.826Z,174312711982606
"Your hand is J♦, 4♣",2025-03-28T01:58:39.826Z,174312711982603
"Player stacks: #1 ""james @ yIasX5_n4b"" (393.26) | #2 ""MineSweeperPro @ 1CyApOBBYk"" (373.27) | #4 ""cashin @ z9ny6iZJyv"" (301.43)",2025-03-28T01:58:39.826Z,174312711982602
"-- starting hand #332 (id: qxlg0wpgvym7)  (No Limit Texas Hold'em) (dealer: ""james @ yIasX5_n4b"") --",2025-03-28T01:58:39.826Z,174312711982601
"The player ""brian @ S6b6tLmlfO"" quits the game with a stack of 0.00.",2025-03-28T01:58:39.826Z,174312711982600
"""james @ yIasX5_n4b"" shows a Q♣.",2025-03-28T01:58:38.341Z,174312711834100
"-- ending hand #331 --",2025-03-28T01:58:36.090Z,174312711609001
"""MineSweeperPro @ 1CyApOBBYk"" collected 293.76 from pot with Pair, Q's (combination: Q♥, Q♦, 10♠, 8♥, 6♠)",2025-03-28T01:58:36.090Z,174312711609000
"River: 10♠, 8♥, 3♦, 6♠ [2♣]",2025-03-28T01:58:32.081Z,174312711208100
"Turn: 10♠, 8♥, 3♦ [6♠]",2025-03-28T01:58:28.050Z,174312710805000
"""brian @ S6b6tLmlfO"" shows a J♣, 9♣.",2025-03-28T01:58:24.010Z,174312710401001
"""MineSweeperPro @ 1CyApOBBYk"" shows a Q♥, Q♦.",2025-03-28T01:58:24.010Z,174312710401000
"""MineSweeperPro @ 1CyApOBBYk"" calls 130.08",2025-03-28T01:58:23.166Z,174312710316600
"""brian @ S6b6tLmlfO"" raises to 130.08 and go all in",2025-03-28T01:58:22.134Z,174312710213400
"""cashin @ z9ny6iZJyv"" folds",2025-03-28T01:58:16.216Z,174312709621600
"""MineSweeperPro @ 1CyApOBBYk"" raises to 50.40",2025-03-28T01:58:14.388Z,174312709438800
"""brian @ S6b6tLmlfO"" bets 16.80",2025-03-28T01:58:09.315Z,174312708931500
"""cashin @ z9ny6iZJyv"" checks",2025-03-28T01:58:06.628Z,174312708662800
"""MineSweeperPro @ 1CyApOBBYk"" checks",2025-03-28T01:58:04.412Z,174312708441200
"Flop:  [10♠, 8♥, 3♦]",2025-03-28T01:58:00.150Z,174312708015000
"""brian @ S6b6tLmlfO"" calls 10.90",2025-03-28T01:57:59.276Z,174312707927600
"""cashin @ z9ny6iZJyv"" calls 10.90",2025-03-28T01:57:58.345Z,174312707834500
"""MineSweeperPro @ 1CyApOBBYk"" raises to 10.90",2025-03-28T01:57:48.675Z,174312706867500
"""james @ yIasX5_n4b"" folds",2025-03-28T01:57:44.990Z,174312706499000
"""brian @ S6b6tLmlfO"" calls 2.00",2025-03-28T01:57:41.858Z,174312706185800
"""cashin @ z9ny6iZJyv"" raises to 2.00",2025-03-28T01:57:36.317Z,174312705631700
"""MineSweeperPro @ 1CyApOBBYk"" posts a big blind of 1.00",2025-03-28T01:57:33.529Z,174312705352911
"""james @ yIasX5_n4b"" posts a small blind of 0.50",2025-03-28T01:57:33.529Z,174312705352910
"""brian @ S6b6tLmlfO"" posts an ante of 0.10",2025-03-28T01:57:33.529Z,174312705352909
"""cashin @ z9ny6iZJyv"" posts an ante of 0.10",2025-03-28T01:57:33.529Z,174312705352908
"""MineSweeperPro @ 1CyApOBBYk"" posts an ante of 0.10",2025-03-28T01:57:33.529Z,174312705352907
"""james @ yIasX5_n4b"" posts an ante of 0.10",2025-03-28T01:57:33.529Z,174312705352906
"Your hand is Q♣, 6♣",2025-03-28T01:57:33.529Z,174312705352902
"Player stacks: #1 ""james @ yIasX5_n4b"" (393.86) | #2 ""MineSweeperPro @ 1CyApOBBYk"" (220.59) | #4 ""cashin @ z9ny6iZJyv"" (312.43) | #10 ""brian @ S6b6tLmlfO"" (141.08)",2025-03-28T01:57:33.529Z,174312705352901
"-- starting hand #331 (id: r9c9fipycrl8)  (No Limit Texas Hold'em) (dealer: ""brian @ S6b6tLmlfO"") --",2025-03-28T01:57:33.529Z,174312705352900
"-- ending hand #330 --",2025-03-28T01:57:30.497Z,174312705049704
"""MineSweeperPro @ 1CyApOBBYk"" collected 6.24 from pot with Two Pair, 4's & 2's (combination: 4♦, 4♠, 2♦, 2♥, K♠)",2025-03-28T01:57:30.497Z,174312705049703
"""MineSweeperPro @ 1CyApOBBYk"" shows a 3♠, K♠.",2025-03-28T01:57:30.497Z,174312705049702
"""james @ yIasX5_n4b"" collected 6.24 from pot with Two Pair, 4's & 2's (combination: 4♦, 4♠, 2♦, 2♥, K♣)",2025-03-28T01:57:30.497Z,174312705049701
"""james @ yIasX5_n4b"" shows a K♣, 8♠.",2025-03-28T01:57:30.497Z,174312705049700
"""MineSweeperPro @ 1CyApOBBYk"" checks",2025-03-28T01:57:29.638Z,174312704963800
"""james @ yIasX5_n4b"" checks",2025-03-28T01:57:28.648Z,174312704864800
"River: 4♦, 2♦, 4♠, 7♥ [2♥]",2025-03-28T01:57:27.569Z,174312704756900
"""MineSweeperPro @ 1CyApOBBYk"" checks",2025-03-28T01:57:26.753Z,174312704675300
"""james @ yIasX5_n4b"" checks",2025-03-28T01:57:20.756Z,174312704075600
"Turn: 4♦, 2♦, 4♠ [7♥]",2025-03-28T01:57:19.269Z,174312703926900
"""james @ yIasX5_n4b"" calls 2.62",2025-03-28T01:57:18.424Z,174312703842400
"""MineSweeperPro @ 1CyApOBBYk"" bets 2.62",2025-03-28T01:57:15.643Z,174312703564300
"""james @ yIasX5_n4b"" checks",2025-03-28T01:57:12.987Z,174312703298700
"Flop:  [4♦, 2♦, 4♠]",2025-03-28T01:57:11.274Z,174312703127400
"""james @ yIasX5_n4b"" calls 3.17",2025-03-28T01:57:10.419Z,174312703041900
"""brian @ S6b6tLmlfO"" folds",2025-03-28T01:57:08.366Z,174312702836600
"""cashin @ z9ny6iZJyv"" folds",2025-03-28T01:57:04.688Z,174312702468800
"""MineSweeperPro @ 1CyApOBBYk"" raises to 3.17",2025-03-28T01:57:03.812Z,174312702381200
"""james @ yIasX5_n4b"" posts a big blind of 1.00",2025-03-28T01:57:01.432Z,174312702143211
"""brian @ S6b6tLmlfO"" posts a small blind of 0.50",2025-03-28T01:57:01.432Z,174312702143210
"""brian @ S6b6tLmlfO"" posts an ante of 0.10",2025-03-28T01:57:01.432Z,174312702143209
"""cashin @ z9ny6iZJyv"" posts an ante of 0.10",2025-03-28T01:57:01.432Z,174312702143208
"""MineSweeperPro @ 1CyApOBBYk"" posts an ante of 0.10",2025-03-28T01:57:01.432Z,174312702143207
"""james @ yIasX5_n4b"" posts an ante of 0.10",2025-03-28T01:57:01.432Z,174312702143206
"Your hand is K♣, 8♠",2025-03-28T01:57:01.432Z,174312702143202
"Player stacks: #1 ""james @ yIasX5_n4b"" (393.51) | #2 ""MineSweeperPro @ 1CyApOBBYk"" (220.24) | #4 ""cashin @ z9ny6iZJyv"" (312.53) | #10 ""brian @ S6b6tLmlfO"" (141.68)",2025-03-28T01:57:01.432Z,174312702143201
"-- starting hand #330 (id: irsz2oiq78dy)  (No Limit Texas Hold'em) (dealer: ""cashin @ z9ny6iZJyv"") --",2025-03-28T01:57:01.432Z,174312702143200
"-- ending hand #329 --",2025-03-28T01:56:58.417Z,174312701841703
"""cashin @ z9ny6iZJyv"" shows a 6♠, 7♠.",2025-03-28T01:56:58.417Z,174312701841702
"""brian @ S6b6tLmlfO"" collected 9.91 from pot with K High (combination: K♠, Q♥, J♠, 8♠, 7♦)",2025-03-28T01:56:58.417Z,174312701841701
"""brian @ S6b6tLmlfO"" shows a 7♦, J♠.",2025-03-28T01:56:58.417Z,174312701841700
"""MineSweeperPro @ 1CyApOBBYk"" checks",2025-03-28T01:56:57.588Z,174312701758800
"""brian @ S6b6tLmlfO"" checks",2025-03-28T01:56:56.681Z,174312701668100
"""cashin @ z9ny6iZJyv"" checks",2025-03-28T01:56:52.407Z,174312701240700
"River: Q♥, 4♥, K♠, 2♣ [8♠]",2025-03-28T01:56:44.784Z,174312700478400
"""MineSweeperPro @ 1CyApOBBYk"" checks",2025-03-28T01:56:43.961Z,174312700396100
"""brian @ S6b6tLmlfO"" checks",2025-03-28T01:56:37.695Z,174312699769500
"""cashin @ z9ny6iZJyv"" checks",2025-03-28T01:56:33.122Z,174312699312200
"Turn: Q♥, 4♥, K♠ [2♣]",2025-03-28T01:56:32.011Z,174312699201100
"""MineSweeperPro @ 1CyApOBBYk"" checks",2025-03-28T01:56:31.206Z,174312699120600
"""brian @ S6b6tLmlfO"" checks",2025-03-28T01:56:29.237Z,174312698923700
"""cashin @ z9ny6iZJyv"" checks",2025-03-28T01:56:28.087Z,174312698808700
"Flop:  [Q♥, 4♥, K♠]",2025-03-28T01:56:24.947Z,174312698494700
"""brian @ S6b6tLmlfO"" calls 3.17",2025-03-28T01:56:24.124Z,174312698412400
"""cashin @ z9ny6iZJyv"" calls 3.17",2025-03-28T01:56:21.948Z,174312698194800
"""MineSweeperPro @ 1CyApOBBYk"" raises to 3.17",2025-03-28T01:56:18.495Z,174312697849500
"""james @ yIasX5_n4b"" folds",2025-03-28T01:56:15.854Z,174312697585400
"""brian @ S6b6tLmlfO"" posts a big blind of 1.00",2025-03-28T01:56:13.981Z,174312697398111
"""cashin @ z9ny6iZJyv"" posts a small blind of 0.50",2025-03-28T01:56:13.981Z,174312697398110
"""brian @ S6b6tLmlfO"" posts an ante of 0.10",2025-03-28T01:56:13.981Z,174312697398109
"""cashin @ z9ny6iZJyv"" posts an ante of 0.10",2025-03-28T01:56:13.981Z,174312697398108
"""MineSweeperPro @ 1CyApOBBYk"" posts an ante of 0.10",2025-03-28T01:56:13.981Z,174312697398107
"""james @ yIasX5_n4b"" posts an ante of 0.10",2025-03-28T01:56:13.981Z,174312697398106
"Your hand is Q♦, 4♠",2025-03-28T01:56:13.981Z,174312697398102
"Player stacks: #1 ""james @ yIasX5_n4b"" (393.61) | #2 ""MineSweeperPro @ 1CyApOBBYk"" (223.51) | #4 ""cashin @ z9ny6iZJyv"" (315.80) | #10 ""brian @ S6b6tLmlfO"" (135.04)",2025-03-28T01:56:13.981Z,174312697398101
"-- starting hand #329 (id: 8ezlrknrgcqr)  (No Limit Texas Hold'em) (dealer: ""MineSweeperPro @ 1CyApOBBYk"") --",2025-03-28T01:56:13.981Z,174312697398100
"-- ending hand #328 --",2025-03-28T01:56:11.042Z,174312697104202
"""james @ yIasX5_n4b"" collected 2.90 from pot",2025-03-28T01:56:11.042Z,174312697104201
"Uncalled bet of 2.17 returned to ""james @ yIasX5_n4b""",2025-03-28T01:56:11.042Z,174312697104200
"""cashin @ z9ny6iZJyv"" folds",2025-03-28T01:56:10.202Z,174312697020200
"""MineSweeperPro @ 1CyApOBBYk"" folds",2025-03-28T01:56:09.342Z,174312696934200
"""james @ yIasX5_n4b"" raises to 3.17",2025-03-28T01:56:08.199Z,174312696819900
"""brian @ S6b6tLmlfO"" folds",2025-03-28T01:56:01.039Z,174312696103900
"""cashin @ z9ny6iZJyv"" posts a big blind of 1.00",2025-03-28T01:55:58.188Z,174312695818811
"""MineSweeperPro @ 1CyApOBBYk"" posts a small blind of 0.50",2025-03-28T01:55:58.188Z,174312695818810
"""brian @ S6b6tLmlfO"" posts an ante of 0.10",2025-03-28T01:55:58.188Z,174312695818809
"""cashin @ z9ny6iZJyv"" posts an ante of 0.10",2025-03-28T01:55:58.188Z,174312695818808
"""MineSweeperPro @ 1CyApOBBYk"" posts an ante of 0.10",2025-03-28T01:55:58.188Z,174312695818807
"""james @ yIasX5_n4b"" posts an ante of 0.10",2025-03-28T01:55:58.188Z,174312695818806
"Your hand is 9♥, 7♣",2025-03-28T01:55:58.188Z,174312695818802
"Player stacks: #1 ""james @ yIasX5_n4b"" (391.81) | #2 ""MineSweeperPro @ 1CyApOBBYk"" (224.11) | #4 ""cashin @ z9ny6iZJyv"" (316.90) | #10 ""brian @ S6b6tLmlfO"" (135.14)",2025-03-28T01:55:58.188Z,174312695818801
"-- starting hand #328 (id: qvfbddqhb8yv)  (No Limit Texas Hold'em) (dealer: ""james @ yIasX5_n4b"") --",2025-03-28T01:55:58.188Z,174312695818800
"-- ending hand #327 --",2025-03-28T01:55:55.128Z,174312695512802
"""MineSweeperPro @ 1CyApOBBYk"" collected 7.24 from pot with K High (combination: K♣, J♥, 9♣, 8♠, 6♣)",2025-03-28T01:55:55.128Z,174312695512801
"""MineSweeperPro @ 1CyApOBBYk"" shows a J♥, K♣.",2025-03-28T01:55:55.128Z,174312695512800
"""brian @ S6b6tLmlfO"" checks",2025-03-28T01:55:54.312Z,174312695431200
"""MineSweeperPro @ 1CyApOBBYk"" checks",2025-03-28T01:55:52.881Z,174312695288100
"River: 4♣, 8♠, 6♣, 5♠ [9♣]",2025-03-28T01:55:51.407Z,174312695140700
"""brian @ S6b6tLmlfO"" checks",2025-03-28T01:55:50.592Z,174312695059200
"""MineSweeperPro @ 1CyApOBBYk"" checks",2025-03-28T01:55:49.183Z,174312694918300
"Turn: 4♣, 8♠, 6♣ [5♠]",2025-03-28T01:55:47.512Z,174312694751200
"""brian @ S6b6tLmlfO"" checks",2025-03-28T01:55:46.669Z,174312694666900
"""MineSweeperPro @ 1CyApOBBYk"" checks",2025-03-28T01:55:44.892Z,174312694489200
"Flop:  [4♣, 8♠, 6♣]",2025-03-28T01:55:44.515Z,174312694451500
"""MineSweeperPro @ 1CyApOBBYk"" calls 3.17",2025-03-28T01:55:43.700Z,174312694370000
"""james @ yIasX5_n4b"" folds",2025-03-28T01:55:42.272Z,174312694227200
"""brian @ S6b6tLmlfO"" raises to 3.17",2025-03-28T01:55:41.296Z,174312694129600
"""cashin @ z9ny6iZJyv"" folds",2025-03-28T01:55:38.737Z,174312693873700
"""MineSweeperPro @ 1CyApOBBYk"" posts a big blind of 1.00",2025-03-28T01:55:37.697Z,174312693769711
"""james @ yIasX5_n4b"" posts a small blind of 0.50",2025-03-28T01:55:37.697Z,174312693769710
"""brian @ S6b6tLmlfO"" posts an ante of 0.10",2025-03-28T01:55:37.697Z,174312693769709
"""cashin @ z9ny6iZJyv"" posts an ante of 0.10",2025-03-28T01:55:37.697Z,174312693769708
"""MineSweeperPro @ 1CyApOBBYk"" posts an ante of 0.10",2025-03-28T01:55:37.697Z,174312693769707
"""james @ yIasX5_n4b"" posts an ante of 0.10",2025-03-28T01:55:37.697Z,174312693769706
"Your hand is A♠, 3♣",2025-03-28T01:55:37.697Z,174312693769702
"Player stacks: #1 ""james @ yIasX5_n4b"" (392.41) | #2 ""MineSweeperPro @ 1CyApOBBYk"" (220.14) | #4 ""cashin @ z9ny6iZJyv"" (317.00) | #10 ""brian @ S6b6tLmlfO"" (138.41)",2025-03-28T01:55:37.697Z,174312693769701
"-- starting hand #327 (id: zobac96decgm)  (No Limit Texas Hold'em) (dealer: ""brian @ S6b6tLmlfO"") --",2025-03-28T01:55:37.697Z,174312693769700
"-- ending hand #326 --",2025-03-28T01:55:34.745Z,174312693474502
"""cashin @ z9ny6iZJyv"" collected 8.24 from pot",2025-03-28T01:55:34.745Z,174312693474501
"Uncalled bet of 7.24 returned to ""cashin @ z9ny6iZJyv""",2025-03-28T01:55:34.745Z,174312693474500
"""MineSweeperPro @ 1CyApOBBYk"" folds",2025-03-28T01:55:33.874Z,174312693387400
"""james @ yIasX5_n4b"" folds",2025-03-28T01:55:32.305Z,174312693230500
"""brian @ S6b6tLmlfO"" folds",2025-03-28T01:55:31.279Z,174312693127900
"""cashin @ z9ny6iZJyv"" raises to 10.41",2025-03-28T01:55:29.993Z,174312692999300
"""MineSweeperPro @ 1CyApOBBYk"" raises to 3.17",2025-03-28T01:55:25.101Z,174312692510100
"""james @ yIasX5_n4b"" posts a big blind of 1.00",2025-03-28T01:55:22.659Z,174312692265911
"""brian @ S6b6tLmlfO"" posts a small blind of 0.50",2025-03-28T01:55:22.659Z,174312692265910
"""brian @ S6b6tLmlfO"" posts an ante of 0.10",2025-03-28T01:55:22.659Z,174312692265909
"""cashin @ z9ny6iZJyv"" posts an ante of 0.10",2025-03-28T01:55:22.659Z,174312692265908
"""MineSweeperPro @ 1CyApOBBYk"" posts an ante of 0.10",2025-03-28T01:55:22.659Z,174312692265907
"""james @ yIasX5_n4b"" posts an ante of 0.10",2025-03-28T01:55:22.659Z,174312692265906
"Your hand is 7♠, J♦",2025-03-28T01:55:22.659Z,174312692265902
"Player stacks: #1 ""james @ yIasX5_n4b"" (393.51) | #2 ""MineSweeperPro @ 1CyApOBBYk"" (223.41) | #4 ""cashin @ z9ny6iZJyv"" (312.03) | #10 ""brian @ S6b6tLmlfO"" (139.01)",2025-03-28T01:55:22.659Z,174312692265901
"-- starting hand #326 (id: c2zeztwfomnb)  (No Limit Texas Hold'em) (dealer: ""cashin @ z9ny6iZJyv"") --",2025-03-28T01:55:22.659Z,174312692265900
"-- ending hand #325 --",2025-03-28T01:55:19.649Z,174312691964902
"""james @ yIasX5_n4b"" collected 33.10 from pot with Pair, A's (combination: A♣, A♦, J♣, 10♠, 7♠)",2025-03-28T01:55:19.649Z,174312691964901
"""james @ yIasX5_n4b"" shows a A♣, 5♣.",2025-03-28T01:55:19.649Z,174312691964900
"""brian @ S6b6tLmlfO"" calls 9.93",2025-03-28T01:55:18.843Z,174312691884300
"""james @ yIasX5_n4b"" bets 9.93",2025-03-28T01:55:17.814Z,174312691781400
"""brian @ S6b6tLmlfO"" checks",2025-03-28T01:55:14.708Z,174312691470800
"River: A♦, J♣, 7♠, 10♠ [2♦]",2025-03-28T01:55:13.727Z,174312691372700
"""james @ yIasX5_n4b"" checks",2025-03-28T01:55:12.897Z,174312691289700
"""brian @ S6b6tLmlfO"" checks",2025-03-28T01:55:11.164Z,174312691116400
"Turn: A♦, J♣, 7♠ [10♠]",2025-03-28T01:55:09.927Z,174312690992700
"""brian @ S6b6tLmlfO"" calls 3.00",2025-03-28T01:55:09.115Z,174312690911500
"""james @ yIasX5_n4b"" bets 3.00",2025-03-28T01:55:08.136Z,174312690813600
"""brian @ S6b6tLmlfO"" checks",2025-03-28T01:55:04.095Z,174312690409500
"Flop:  [A♦, J♣, 7♠]",2025-03-28T01:55:02.861Z,174312690286100
"""brian @ S6b6tLmlfO"" calls 3.17",2025-03-28T01:55:02.016Z,174312690201600
"""cashin @ z9ny6iZJyv"" folds",2025-03-28T01:54:59.736Z,174312689973600
"""MineSweeperPro @ 1CyApOBBYk"" folds",2025-03-28T01:54:58.867Z,174312689886700
"""james @ yIasX5_n4b"" raises to 3.17",2025-03-28T01:54:57.979Z,174312689797900
"""brian @ S6b6tLmlfO"" posts a big blind of 1.00",2025-03-28T01:54:50.048Z,174312689004811
"""cashin @ z9ny6iZJyv"" posts a small blind of 0.50",2025-03-28T01:54:50.048Z,174312689004810
"""brian @ S6b6tLmlfO"" posts an ante of 0.10",2025-03-28T01:54:50.048Z,174312689004809
"""cashin @ z9ny6iZJyv"" posts an ante of 0.10",2025-03-28T01:54:50.048Z,174312689004808
"""MineSweeperPro @ 1CyApOBBYk"" posts an ante of 0.10",2025-03-28T01:54:50.048Z,174312689004807
"""james @ yIasX5_n4b"" posts an ante of 0.10",2025-03-28T01:54:50.048Z,174312689004806
"Your hand is A♣, 5♣",2025-03-28T01:54:50.048Z,174312689004802
"Player stacks: #1 ""james @ yIasX5_n4b"" (376.61) | #2 ""MineSweeperPro @ 1CyApOBBYk"" (223.51) | #4 ""cashin @ z9ny6iZJyv"" (312.63) | #10 ""brian @ S6b6tLmlfO"" (155.21)",2025-03-28T01:54:50.048Z,174312689004801
"-- starting hand #325 (id: kbk8vppt6bgj)  (No Limit Texas Hold'em) (dealer: ""MineSweeperPro @ 1CyApOBBYk"") --",2025-03-28T01:54:50.048Z,174312689004800
"""brian @ S6b6tLmlfO"" shows a A♠.",2025-03-28T01:54:47.950Z,174312688795000
"""MineSweeperPro @ 1CyApOBBYk"" shows a A♦.",2025-03-28T01:54:46.528Z,174312688652800
"-- ending hand #324 --",2025-03-28T01:54:45.727Z,174312688572702
"""MineSweeperPro @ 1CyApOBBYk"" collected 63.45 from pot",2025-03-28T01:54:45.727Z,174312688572701
"Uncalled bet of 63.45 returned to ""MineSweeperPro @ 1CyApOBBYk""",2025-03-28T01:54:45.727Z,174312688572700
"""brian @ S6b6tLmlfO"" folds",2025-03-28T01:54:44.893Z,174312688489300
"""MineSweeperPro @ 1CyApOBBYk"" bets 63.45",2025-03-28T01:54:43.213Z,174312688321300
"River: 8♣, K♣, 10♣, Q♥ [5♦]",2025-03-28T01:54:38.032Z,174312687803200
"""brian @ S6b6tLmlfO"" calls 14.36",2025-03-28T01:54:37.209Z,174312687720900
"""MineSweeperPro @ 1CyApOBBYk"" bets 14.36",2025-03-28T01:54:28.421Z,174312686842100
"Turn: 8♣, K♣, 10♣ [Q♥]",2025-03-28T01:54:22.514Z,174312686251400
"""brian @ S6b6tLmlfO"" checks",2025-03-28T01:54:21.707Z,174312686170700
"""MineSweeperPro @ 1CyApOBBYk"" checks",2025-03-28T01:54:20.338Z,174312686033800
"Flop:  [8♣, K♣, 10♣]",2025-03-28T01:54:15.275Z,174312685527500
"""james @ yIasX5_n4b"" folds",2025-03-28T01:54:14.453Z,174312685445300
"""brian @ S6b6tLmlfO"" calls 15.08",2025-03-28T01:54:12.018Z,174312685201800
"""cashin @ z9ny6iZJyv"" folds",2025-03-28T01:54:09.474Z,174312684947400
"""MineSweeperPro @ 1CyApOBBYk"" raises to 15.08",2025-03-28T01:54:07.991Z,174312684799100
"""james @ yIasX5_n4b"" calls 3.17",2025-03-28T01:54:04.308Z,174312684430800
"""brian @ S6b6tLmlfO"" raises to 3.17",2025-03-28T01:54:00.814Z,174312684081400
"""cashin @ z9ny6iZJyv"" posts a big blind of 1.00",2025-03-28T01:53:58.051Z,174312683805111
"""MineSweeperPro @ 1CyApOBBYk"" posts a small blind of 0.50",2025-03-28T01:53:58.051Z,174312683805110
"""brian @ S6b6tLmlfO"" posts an ante of 0.10",2025-03-28T01:53:58.051Z,174312683805109
"""cashin @ z9ny6iZJyv"" posts an ante of 0.10",2025-03-28T01:53:58.051Z,174312683805108
"""MineSweeperPro @ 1CyApOBBYk"" posts an ante of 0.10",2025-03-28T01:53:58.051Z,174312683805107
"""james @ yIasX5_n4b"" posts an ante of 0.10",2025-03-28T01:53:58.051Z,174312683805106
"Your hand is K♦, 4♦",2025-03-28T01:53:58.051Z,174312683805102
"Player stacks: #1 ""james @ yIasX5_n4b"" (379.88) | #2 ""MineSweeperPro @ 1CyApOBBYk"" (189.60) | #4 ""cashin @ z9ny6iZJyv"" (313.73) | #10 ""brian @ S6b6tLmlfO"" (184.75)",2025-03-28T01:53:58.051Z,174312683805101
"-- starting hand #324 (id: obz4wg4eemtm)  (No Limit Texas Hold'em) (dealer: ""james @ yIasX5_n4b"") --",2025-03-28T01:53:58.051Z,174312683805100
"""MineSweeperPro @ 1CyApOBBYk"" shows a 10♠.",2025-03-28T01:53:55.245Z,174312683524500
"-- ending hand #323 --",2025-03-28T01:53:54.433Z,174312683443302
"""MineSweeperPro @ 1CyApOBBYk"" collected 4.90 from pot",2025-03-28T01:53:54.433Z,174312683443301
"Uncalled bet of 2.45 returned to ""MineSweeperPro @ 1CyApOBBYk""",2025-03-28T01:53:54.433Z,174312683443300
"""cashin @ z9ny6iZJyv"" folds",2025-03-28T01:53:53.608Z,174312683360800
"""MineSweeperPro @ 1CyApOBBYk"" bets 2.45",2025-03-28T01:53:52.603Z,174312683260300
"Turn: 7♦, 4♣, 8♠ [3♣]",2025-03-28T01:53:49.242Z,174312682924200
"""cashin @ z9ny6iZJyv"" checks",2025-03-28T01:53:48.418Z,174312682841800
"""MineSweeperPro @ 1CyApOBBYk"" checks",2025-03-28T01:53:47.268Z,174312682726800
"Flop:  [7♦, 4♣, 8♠]",2025-03-28T01:53:46.836Z,174312682683600
"""MineSweeperPro @ 1CyApOBBYk"" calls 2.00",2025-03-28T01:53:46.023Z,174312682602300
"""james @ yIasX5_n4b"" folds",2025-03-28T01:53:44.684Z,174312682468400
